詞目,簡編本各讀音（主讀音在前）,字型目前顯示,目前狀態,建議,理由,各讀音釋義
分子,ㄈㄣ ㄗˇ / ㄈㄣˋ ㄗˇ / ㄈㄣˋ ˙ㄗ,ㄈㄣ ㄗˇ,目前顯示=第1讀音,維持（已是主讀音）,,ㄈㄣ ㄗˇ＝1.數學上指分數中在橫線上方的數字，如 1/3中的1。 2.物質中保持原物質的一切化學性質，能夠獨立存在的最小微粒，稱為 ‖ ㄈㄣˋ ㄗˇ＝構成整體的個體。[例]這個團體中的分子很複雜。 ‖ ㄈㄣˋ ˙ㄗ＝一個整體數目中，各人分攤的金額。常指婚喪喜慶的贈金。[例]大家決定湊分子，包個紅包給她作為結婚賀禮。
風頭,ㄈㄥ ㄊㄡˊ / ㄈㄥ ˙ㄊㄡ,ㄈㄥ ㄊㄡˊ,目前顯示=第1讀音,維持（已是主讀音）,,ㄈㄥ ㄊㄡˊ＝1.風勢強勁的地方。[例]山頂上風頭大，要小心站穩。 2.比喻情勢的發展。[例]咱們看著風頭說話，免得說錯話，得罪人了。 ‖ ㄈㄥ ˙ㄊㄡ＝活躍出色，引人注意的言行表現。[例]他在運動場上的風頭很健。
大汗,ㄉㄚˋ ㄏㄢˋ / ㄉㄚˋ ㄏㄢˊ,ㄉㄚˋ ㄏㄢˋ,目前顯示=第1讀音,維持（已是主讀音）,,ㄉㄚˋ ㄏㄢˋ＝形容汗流不停的樣子。[例]小男孩樓上樓下跑來跑去，弄得滿身大汗。 ‖ ㄉㄚˋ ㄏㄢˊ＝古代西域和北方各國對君王的稱呼。[例]成吉思汗是蒙古一族中有名的大汗。
大家,ㄉㄚˋ ㄐㄧㄚ / ㄉㄚˋ ㄍㄨ,ㄉㄚˋ ㄐㄧㄚ,目前顯示=第1讀音,維持（已是主讀音）,,ㄉㄚˋ ㄐㄧㄚ＝1.眾人。[例]大家好、大家一起來 2.世家望族。[例]大家閨秀、大家風範 3.著名的專家。[例]唐宋古文八大家  ‖ ㄉㄚˋ ㄍㄨ＝古時對女子的尊稱。[例]世稱漢代班昭為曹大家。
得了,ㄉㄜˊ ˙ㄌㄜ / ㄉㄜˊ ㄌㄧㄠˇ,ㄉㄜˊ ˙ㄌㄜ,目前顯示=第1讀音,維持（已是主讀音）,,ㄉㄜˊ ˙ㄌㄜ＝1.得到、獲得。[例]這次演講比賽小明得了第一名。 2.算了，表示制止。[例]得了，這件事你會幫忙才怪！ ‖ ㄉㄜˊ ㄌㄧㄠˇ＝了得。表示訝異的語氣。[例]他小小年紀，圍棋就下得這麼好，長大還得了。 
當頭,ㄉㄤ ㄊㄡˊ / ㄉㄤˋ ˙ㄊㄡ,ㄉㄤ ㄊㄡˊ,目前顯示=第1讀音,維持（已是主讀音）,,ㄉㄤ ㄊㄡˊ＝正值、正面臨。[例]國難當頭、當頭棒喝 ‖ ㄉㄤˋ ˙ㄊㄡ＝可以典押的東西。[例]他拿了些值錢的當頭去借錢應急。
等分,ㄉㄥˇ ㄈㄣˋ / ㄉㄥˇ ㄈㄣ,ㄉㄥˇ ㄈㄣ,目前顯示=第2讀音,改 ㄉㄥˇ ㄈㄣˋ,數學「三等分」名詞用法；主讀音,ㄉㄥˇ ㄈㄣˋ＝相同的分量。[例]請把這些水果分成三等分。 ‖ ㄉㄥˇ ㄈㄣ＝把一個整體平均分成若干部分。[例]要一刀等分一個水果，且作到分毫不差，幾乎是不可能的。
澄清,ㄔㄥˊ ㄑㄧㄥ / ㄉㄥˋ ㄑㄧㄥ,ㄔㄥˊ ㄑㄧㄥ,目前顯示=第1讀音,維持（已是主讀音）,,ㄔㄥˊ ㄑㄧㄥ＝1.清澈、清亮。[例]湖裡的水雖然澄清，但仍有些病菌，不可直接飲用。 2.把事情弄清楚明白。[例]澄清誤會  ‖ ㄉㄥˋ ㄑㄧㄥ＝經由過濾，將水中雜質沉澱，使其清澈。[例]明礬有殺菌及消毒的功效，可用來澄清水質。
地道,ㄉㄧˋ ㄉㄠˋ / ㄉㄧˋ ˙ㄉㄠ,ㄉㄧˋ ㄉㄠˋ,目前顯示=第1讀音,維持（已是主讀音）,,ㄉㄧˋ ㄉㄠˋ＝地下通道。[例]礦工得通過一條長長的地道才能採礦。 ‖ ㄉㄧˋ ˙ㄉㄠ＝真正的、正宗的。[例]地道貨 △道地
地下,ㄉㄧˋ ㄒㄧㄚˋ / ㄉㄧˋ ˙ㄒㄧㄚ,ㄉㄧˋ ㄒㄧㄚˋ,目前顯示=第1讀音,維持（已是主讀音）,,ㄉㄧˋ ㄒㄧㄚˋ＝1.地面下的。[例]地下道、地下水、地下資源_x000D_ 2.祕密、不公開的或不合法的。[例]地下舞廳、地下工廠、地下 ‖ ㄉㄧˋ ˙ㄒㄧㄚ＝地面上。[例]小朋友坐在地下，聽老師說故事。
調配,ㄊㄧㄠˊ ㄆㄟˋ / ㄉㄧㄠˋ ㄆㄟˋ,ㄊㄧㄠˊ ㄆㄟˋ,目前顯示=第1讀音,維持（已是主讀音）,,ㄊㄧㄠˊ ㄆㄟˋ＝調理配合。[例]酒保依照一定的比例，將數種酒調配成口味獨特的雞尾酒。 ‖ ㄉㄧㄠˋ ㄆㄟˋ＝調動分配。[例]主管打算把各單位的工作重新調配，以因應日趨繁重的業務。
肚子,ㄉㄨˋ ˙ㄗ / ㄉㄨˇ ˙ㄗ,ㄉㄨˋ ㄗˇ,目前顯示都不是,改 ㄉㄨˋ ˙ㄗ,腹部；目前兩字都不對,ㄉㄨˋ ˙ㄗ＝1.腹部的通稱。[例]他因為吃了不乾淨的東西，現在肚子正疼著呢！ 2.物體中圓而凸起像肚子的部分。[例]這隻酒瓶有個胖胖 ‖ ㄉㄨˇ ˙ㄗ＝料理食物時稱動物的胃為「肚子」。[例]羊肚子、牛肚子 △肚兒
度量,ㄉㄨˋ ㄌㄧㄤˋ / ㄉㄨㄛˋ ㄌㄧㄤˊ,ㄉㄨˋ ㄌㄧㄤˋ,目前顯示=第1讀音,維持（已是主讀音）,,ㄉㄨˋ ㄌㄧㄤˋ＝能包容他人的胸襟。[例]「宰相肚裡能撐船」，是形容一個人的度量很大。 ‖ ㄉㄨㄛˋ ㄌㄧㄤˊ＝測量、測度。[例]他心中一直度量著，該如何解決與同學之間的誤會。
對頭,ㄉㄨㄟˋ ㄊㄡˊ / ㄉㄨㄟˋ ˙ㄊㄡ,ㄉㄨㄟˋ ㄊㄡˊ,目前顯示=第1讀音,維持（已是主讀音）,,ㄉㄨㄟˋ ㄊㄡˊ＝1.正確。[例]只要方法對頭，事情很快就能解決了。 2.合得來。[例]他們從小就不對頭，現在也是。 ‖ ㄉㄨㄟˋ ˙ㄊㄡ＝仇敵、仇人。[例]死對頭、對頭冤家
東西,ㄉㄨㄥ ㄒㄧ / ㄉㄨㄥ ˙ㄒㄧ,ㄉㄨㄥ ㄒㄧ,目前顯示=第1讀音,維持（已是主讀音）,,ㄉㄨㄥ ㄒㄧ＝1.東方與西方。[例]東西文化交流 2.從東到西。[例]東西走向、東西橫貫公路 ‖ ㄉㄨㄥ ˙ㄒㄧ＝物品。[例]我習慣睡前把明天要用的各項東西先準備好，以免到時手忙腳亂。
體臭,ㄊㄧˇ ㄒㄧㄡˋ / ㄊㄧˇ ㄔㄡˋ,ㄊㄧˇ ㄔㄡˋ,目前顯示=第2讀音,維持 ㄊㄧˇ ㄔㄡˋ,難聞氣味，日常,ㄊㄧˇ ㄒㄧㄡˋ＝身體散發出的特殊氣味。[例]香妃因為有特殊的體臭，所以被乾隆封為「香妃」。 ‖ ㄊㄧˇ ㄔㄡˋ＝身體所發出的難聞氣味。[例]澈底做好清潔工作，是防止體臭的根本辦法。
挑空,ㄊㄧㄠ ㄎㄨㄥ / ㄊㄧㄠˇ ㄎㄨㄥ,ㄊㄧㄠˇ ㄎㄨㄥ,目前顯示=第2讀音,改 ㄊㄧㄠ ㄎㄨㄥ,建築用語；主讀音,ㄊㄧㄠ ㄎㄨㄥ＝建築物樓層與樓層之間的距離較高，可變化成樓中樓等格局。[例]這房子一經挑空設計，空間看起來大多了。 ‖ ㄊㄧㄠˇ ㄎㄨㄥ＝將物體某一部分挖空。通常用於陶藝、雕刻等藝術創作方面。[例]將這個花瓶的某些圖案挑空，整整花了他一星期的時間。
天道,ㄊㄧㄢ ㄉㄠˋ / ㄊㄧㄢ ˙ㄉㄠ,ㄊㄧㄢ ㄉㄠˋ,目前顯示=第1讀音,維持（已是主讀音）,,ㄊㄧㄢ ㄉㄠˋ＝天理、自然的法則。[例]天道輪迴 ‖ ㄊㄧㄢ ˙ㄉㄠ＝天氣、節候。[例]三伏天道
聽命,ㄊㄧㄥ ㄇㄧㄥˋ / ㄊㄧㄥˋ ㄇㄧㄥˋ,ㄊㄧㄥ ㄇㄧㄥˋ,目前顯示=第1讀音,維持（已是主讀音）,,ㄊㄧㄥ ㄇㄧㄥˋ＝聽從命令。[例]軍人講究百分之百的服從，只要是長官的指示，下屬就要聽命。 ‖ ㄊㄧㄥˋ ㄇㄧㄥˋ＝任憑天意及命運而自然發展。[例]凡事盡力去做就對了，能不能成功，只能聽命了。
同行,ㄊㄨㄥˊ ㄏㄤˊ / ㄊㄨㄥˊ ㄒㄧㄥˊ,ㄊㄨㄥˊ ㄒㄧㄥˊ,目前顯示=第2讀音,維持 ㄊㄨㄥˊ ㄒㄧㄥˊ,小學生語境＝一起走,ㄊㄨㄥˊ ㄏㄤˊ＝從事相同職業的人。[例]同行相嫉、同行是冤家 ‖ ㄊㄨㄥˊ ㄒㄧㄥˊ＝同道而走，結伴而行。[例]我們大夥相偕同行到阿里山看日出。
那般,ㄋㄚˇ ㄅㄢ / ㄋㄚˋ ㄅㄢ,ㄋㄚˋ ㄅㄢ,目前顯示=第2讀音,維持 ㄋㄚˋ ㄅㄢ,疑問用法今多寫「哪」,ㄋㄚˇ ㄅㄢ＝何故。[例]他這樣日夜不停拼命的工作，到底是為那般？ ‖ ㄋㄚˋ ㄅㄢ＝那樣。[例]都市的夜晚當然不如鄉下那般寧靜。
那裡,ㄋㄚˇ ㄌㄧˇ / ㄋㄚˋ ㄌㄧˇ,ㄋㄚˋ ㄌㄧˇ,目前顯示=第2讀音,維持 ㄋㄚˋ ㄌㄧˇ,同上,ㄋㄚˇ ㄌㄧˇ＝1.何處、何方。[例]我好像在那裡看過你。_x000D_ 2.如何、怎麼。[例]他才剛來臺北，那裡摸得清東西南北？_x0 ‖ ㄋㄚˋ ㄌㄧˇ＝彼處。[例]一大堆人聚在那裡，不知發生什麼事了？
那些,ㄋㄚˇ ㄒㄧㄝ / ㄋㄚˋ ㄒㄧㄝ,ㄋㄚˋ ㄒㄧㄝ,目前顯示=第2讀音,維持 ㄋㄚˋ ㄒㄧㄝ,同上,ㄋㄚˇ ㄒㄧㄝ＝詢問事物數量或種類的疑問詞。[例]這個星期你讀了那些書？ ‖ ㄋㄚˋ ㄒㄧㄝ＝說明事物的指示詞。[例]我們歡迎那些有理想的年輕人加入我們的行銷行列。
那樣,ㄋㄚˇ ㄧㄤˋ / ㄋㄚˋ ㄧㄤˋ,ㄋㄚˋ ㄧㄤˋ,目前顯示=第2讀音,維持 ㄋㄚˋ ㄧㄤˋ,同上,ㄋㄚˇ ㄧㄤˋ＝詢問事物的疑問詞。[例]我們量販店裡貨色齊全，你要那樣我們都有。 ‖ ㄋㄚˋ ㄧㄤˋ＝1.說明事物情勢、程度的指示詞。[例]這個消息還不確定，你何必急成那樣？ 2.那麼。[例]他會那樣做，也是為了你。
難兄難弟,ㄋㄢˊ ㄒㄩㄥ ㄋㄢˊ ㄉㄧˋ / ㄋㄢˋ ㄒㄩㄥ ㄋㄢˋ ㄉㄧˋ,ㄋㄢˊ ㄒㄩㄥ ㄋㄢˊ ㄉㄧˋ,目前顯示=第1讀音,維持（已是主讀音）,,ㄋㄢˊ ㄒㄩㄥ ㄋㄢˊ ㄉㄧˋ＝用以稱人兄弟才學品德均佳，難分高下。語本南朝宋．劉義慶《世說新語．德行》。[例]這對雙胞胎同時考上第一志願，是風靡全校的 ‖ ㄋㄢˋ ㄒㄩㄥ ㄋㄢˋ ㄉㄧˋ＝共患難或處於同樣困境的人。[例]當年我們在戰場上是同生共死的難兄難弟。
難處,ㄋㄢˊ ㄔㄨˇ / ㄋㄢˊ ㄔㄨˋ,ㄋㄢˊ ㄔㄨˇ,目前顯示=第1讀音,維持（已是主讀音）,,ㄋㄢˊ ㄔㄨˇ＝1.不容易處理。[例]這事極為難處，你要小心應付。 2.不容易相處。[例]脾氣不好的人很難處。 ‖ ㄋㄢˊ ㄔㄨˋ＝困難的地方、困境。[例]他會這麼做一定有他的難處，我們不要妄下定論。
落下,ㄌㄨㄛˋ ㄒㄧㄚˋ / ㄌㄠˋ ㄒㄧㄚˋ,ㄌㄨㄛˋ ㄒㄧㄚˋ,目前顯示=第1讀音,維持（已是主讀音）,,ㄌㄨㄛˋ ㄒㄧㄚˋ＝降落、掉落。[例]豆大的雨滴自天空紛紛落下，路上的行人不禁加快了腳步。 ‖ ㄌㄠˋ ㄒㄧㄚˋ＝剩下、留下。[例]他一生無惡不做，死後只落下一片罵名。
勵行,ㄌㄧˋ ㄒㄧㄥˊ / ㄌㄧˋ ㄒㄧㄥˋ,ㄌㄧˋ ㄒㄧㄥˊ,目前顯示=第1讀音,維持（已是主讀音）,,ㄌㄧˋ ㄒㄧㄥˊ＝努力認真的執行。[例]勵行新政 ‖ ㄌㄧˋ ㄒㄧㄥˋ＝砥勵品行。[例]敦品勵行
高中,ㄍㄠ ㄓㄨㄥ / ㄍㄠ ㄓㄨㄥˋ,ㄍㄠ ㄓㄨㄥ,目前顯示=第1讀音,維持（已是主讀音）,,ㄍㄠ ㄓㄨㄥ＝介於國民中學與大專院校之間的學校。招收國民中學畢業學生，培養學生研究高深學術及學習專門知識的基本能力，以奠定以後接受高等 ‖ ㄍㄠ ㄓㄨㄥˋ＝高分通過考試。[例]經過多年努力，他今年終於高中普考的榜首。
姑娘,ㄍㄨ ㄋㄧㄤˊ / ㄍㄨ ˙ㄋㄧㄤ,ㄍㄨ ㄋㄧㄤˊ,目前顯示=第1讀音,維持（已是主讀音）,,ㄍㄨ ㄋㄧㄤˊ＝大陸地區徐州、崇明、象山、南昌等地方言。指姑母。 ‖ ㄍㄨ ˙ㄋㄧㄤ＝未出嫁的年輕女子。[例]嫂嫂閒聊中，偶爾會談到當年她還是個姑娘時的點點滴滴。
乖乖,ㄍㄨㄞ ㄍㄨㄞ / ㄍㄨㄞ ˙ㄍㄨㄞ,ㄍㄨㄞ ㄍㄨㄞ,目前顯示=第1讀音,維持（已是主讀音）,,ㄍㄨㄞ ㄍㄨㄞ＝1.安靜、順從。_x000D_ 2.表親暱的稱呼。_x000D_  ‖ ㄍㄨㄞ ˙ㄍㄨㄞ＝助詞。表示驚嘆。[例]乖乖！這師傅的手藝還真不賴！
工夫,ㄍㄨㄥ ㄈㄨ / ㄍㄨㄥ ˙ㄈㄨ,ㄍㄨㄥ ㄈㄨ,目前顯示=第1讀音,維持（已是主讀音）,,ㄍㄨㄥ ㄈㄨ＝古時修築工程的人。[例]秦始皇徵調了數以萬計的工夫，修築萬里長城。 ‖ ㄍㄨㄥ ˙ㄈㄨ＝1.時間。[例]有什麼事就快說吧！我可沒工夫聽你閒扯。 2.本領、用功致力的程度。[例]只要工夫深，鐵杵也能磨成繡花針。
功夫,ㄍㄨㄥ ㄈㄨ / ㄍㄨㄥ ˙ㄈㄨ,ㄍㄨㄥ ㄈㄨ,目前顯示=第1讀音,維持（已是主讀音）,,ㄍㄨㄥ ㄈㄨ＝武術。[例]功夫演員 ‖ ㄍㄨㄥ ˙ㄈㄨ＝1.本領、造詣。[例]他在國畫方面的功夫很了不得。 2.時間、精力。[例]他花了很大的功夫才說服父母讓他去露營。 
公道,ㄍㄨㄥ ㄉㄠˋ / ㄍㄨㄥ ˙ㄉㄠ,ㄍㄨㄥ ㄉㄠˋ,目前顯示=第1讀音,維持（已是主讀音）,,ㄍㄨㄥ ㄉㄠˋ＝1.正道。[例]這件事只有您能主持公道，請您務必要出面。 2.公有道路。[例]這裡是公道，請不要隨意停車好嗎？ ‖ ㄍㄨㄥ ˙ㄉㄠ＝公平合理。[例]這家商店賣的東西價錢公道，童叟無欺。
公差,ㄍㄨㄥ ㄔㄞ / ㄍㄨㄥ ㄔㄚ,ㄍㄨㄥ ㄔㄚ,目前顯示=第2讀音,維持 ㄍㄨㄥ ㄔㄚ,教育平台以數學用法為主,ㄍㄨㄥ ㄔㄞ＝公務上的差使。[例]他即將到南部出公差一個月。 ‖ ㄍㄨㄥ ㄔㄚ＝數學上指等差級數相鄰兩項的差永遠相等。此相等的差稱為「公差」。如等差級數2、4、 6、 8等的公差為2。
看看,ㄎㄢˋ ㄎㄢˋ / ㄎㄢˋ ˙ㄎㄢ,ㄎㄢˋ ㄎㄢˋ,目前顯示=第1讀音,維持（已是主讀音）,,ㄎㄢˋ ㄎㄢˋ＝1.觀察判斷。[例]這件事很棘手，看看情況再說吧！ 2.觀賞。[例]有空的時候到郊外去看看風景，呼吸一下新鮮空氣，有益身 ‖ ㄎㄢˋ ˙ㄎㄢ＝1.估量時間之詞。[例]她看看天色已晚，連忙趕路回家。 2.暫且試試。[例]這道菜保證色香味俱全，不信你嚐看看。
空檔,ㄎㄨㄥ ㄉㄤˇ / ㄎㄨㄥˋ ㄉㄤˇ,ㄎㄨㄥ ㄉㄤˇ,目前顯示=第1讀音,維持（已是主讀音）,,ㄎㄨㄥ ㄉㄤˇ＝汽車停駛時，齒輪停在不轉動位置。[例]他誤把一檔打成空檔，車子無法開動。 ‖ ㄎㄨㄥˋ ㄉㄤˇ＝1.事物輪替時的間隔時間。[例]老師利用下課時的空檔，和同學閒話家常。 2.空閒的時間。[例]爸爸今天終於騰出點空檔來整
孩兒,ㄏㄞˊ ㄦˊ / ㄏㄞˊ ㄦ,ㄏㄞˊ ㄦˊ,目前顯示=第1讀音,維持（已是主讀音）,,ㄏㄞˊ ㄦˊ＝兒女對父母，或晚輩對長輩的自稱之詞。[例]今兒個是母親六十大壽，孩兒恭祝母親福如東海，壽比南山。 ‖ ㄏㄞˊ ㄦ＝1.泛稱幼兒。[例]這孩兒年紀雖小，卻滿腦子鬼靈精，做什麼事都精打細算，絕不吃虧。 2.父母對兒女，或長輩對晚輩的稱呼。
好學,ㄏㄠˇ ㄒㄩㄝˊ / ㄏㄠˋ ㄒㄩㄝˊ,ㄏㄠˇ ㄒㄩㄝˊ,目前顯示=第1讀音,維持（已是主讀音）,,ㄏㄠˇ ㄒㄩㄝˊ＝容易學習。[例]玩飛盤的技巧簡單好學，但要掌控自如仍需不斷的練習。 ‖ ㄏㄠˋ ㄒㄩㄝˊ＝喜歡學習。[例]由於好學不倦，如今他在學術研究上已卓然有成。
好吃,ㄏㄠˇ ㄔ / ㄏㄠˋ ㄔ,ㄏㄠˇ ㄔ,目前顯示=第1讀音,維持（已是主讀音）,,ㄏㄠˇ ㄔ＝美味可口。[例]遍嚐天下美食，他還是覺得家鄉菜最好吃。 ‖ ㄏㄠˋ ㄔ＝愛吃、嘴饞。[例]小孩子因好吃糖果而弄得滿嘴蛀牙。
好事,ㄏㄠˇ ㄕˋ / ㄏㄠˋ ㄕˋ,ㄏㄠˇ ㄕˋ,目前顯示=第1讀音,維持（已是主讀音）,,ㄏㄠˇ ㄕˋ＝1.喜慶的事。[例]他最近先是高昇，後又結婚，接著又中了大獎，真是好事不斷。 2.善事。[例]你就當是做好事，幫幫他吧！ ‖ ㄏㄠˋ ㄕˋ＝喜歡多管閒事，或引起事端。[例]這本來只是小糾紛，卻被好事者渲染成了大新聞。
好玩,ㄏㄠˇ ㄨㄢˊ / ㄏㄠˋ ㄨㄢˊ,ㄏㄠˇ ㄨㄢˊ,目前顯示=第1讀音,維持（已是主讀音）,,ㄏㄠˇ ㄨㄢˊ＝玩起來有趣。[例]踢毽子，不但好玩，而且有益健康。 ‖ ㄏㄠˋ ㄨㄢˊ＝喜歡玩樂。[例]他雖然有些好玩，不過功課還不錯。
橫行,ㄏㄥˊ ㄒㄧㄥˊ / ㄏㄥˋ ㄒㄧㄥˊ,ㄏㄥˊ ㄒㄧㄥˊ,目前顯示=第1讀音,維持（已是主讀音）,,ㄏㄥˊ ㄒㄧㄥˊ＝1.縱橫馳騁。[例]橫行無阻_x000D_ 2.橫向排列。[例]坊間的橫式招牌，多半由左到右橫行書寫。_x000D_  ‖ ㄏㄥˋ ㄒㄧㄥˊ＝形容行為蠻橫，不講道理。[例]橫行霸道
呼號,ㄏㄨ ㄏㄠˊ / ㄏㄨ ㄏㄠˋ,ㄏㄨ ㄏㄠˋ,目前顯示=第2讀音,改 ㄏㄨ ㄏㄠˊ,大聲哭喊；主讀音,ㄏㄨ ㄏㄠˊ＝大聲哭喊。[例]當空難消息證實後，罹難者家屬呼號不斷，悲不能已。 ‖ ㄏㄨ ㄏㄠˋ＝以一組字母、數字、或任何文字及發音詞的組合，識別一個通信設施、指揮所、機關，或部隊者，稱為「呼號」。主要用途為建立及保持
計量,ㄐㄧˋ ㄌㄧㄤˊ / ㄐㄧˋ ㄌㄧㄤˋ,ㄐㄧˋ ㄌㄧㄤˋ,目前顯示=第2讀音,改 ㄐㄧˋ ㄌㄧㄤˊ,計算度量；主讀音（不確定，請拍板）,ㄐㄧˋ ㄌㄧㄤˊ＝計算度量。[例]現代進步的科技已能計量海水總體積。 ‖ ㄐㄧˋ ㄌㄧㄤˋ＝計算數量。[例]望著無法計量的滿天星斗，讓我消減了些許孤寂感。
結實,ㄐㄧㄝˊ ㄕˊ / ㄐㄧㄝ ˙ㄕ,ㄐㄧㄝˊ ㄕˊ,目前顯示=第1讀音,維持（已是主讀音）,,ㄐㄧㄝˊ ㄕˊ＝植物結成果實或種子。[例]結實纍纍 ‖ ㄐㄧㄝ ˙ㄕ＝1.堅固、堅實。[例]這種木頭堅韌結實，常被用作木屋的梁柱。_x000D_ 2.強健。[例]他長期舉重，因此鍛鍊出一身結
降服,ㄐㄧㄤˋ ㄈㄨˊ / ㄒㄧㄤˊ ㄈㄨˊ,ㄐㄧㄤˋ ㄈㄨˊ,目前顯示=第1讀音,維持（已是主讀音）,,ㄐㄧㄤˋ ㄈㄨˊ＝古代指喪服降低一等為「降服」。如子女為父母服三年之喪，若已過繼給他人或出嫁，則對於親生父母只服一年之喪，即屬「降服」。[ ‖ ㄒㄧㄤˊ ㄈㄨˊ＝1.投降、屈服。[例]他們精湛的舞技，讓前來踢館的幾支隊伍無不降服。 2.制服、使服從。[例]精忠報國的岳飛，精通兵法，
妻子,ㄑㄧ ˙ㄗ / ㄑㄧ ㄗˇ,ㄑㄧ ㄗˇ,目前顯示=第2讀音,改 ㄑㄧ ˙ㄗ,配偶，日常,ㄑㄧ ˙ㄗ＝稱男子的配偶。[例]他和妻子之間相敬如賓，甚少有口角發生。 ‖ ㄑㄧ ㄗˇ＝妻與兒女。[例]他與妻子四人常利用假日到郊外踏青。
